Variation,visit_id,steps,total_steps,backward_steps
Test,224874519_8113299636_451703,"(6, 1)",6,1
Test,22496351_41220924834_996475,"(1, 0)",1,0
Test,224964078_8708765674_237396,"(4, 0)",4,0
Test,224976799_55626316227_336939,"(8, 4)",8,4
Test,224993720_55165011551_644175,"(4, 0)",4,0
Test,225028022_56180980708_796486,"(3, 1)",3,1
Test,225048680_78655804837_807708,"(1, 0)",1,0
Test,225089339_53554086198_910910,"(6, 1)",6,1
Test,225092805_65237904975_662539,"(4, 0)",4,0
Test,225094596_20163343637_587101,"(4, 0)",4,0
Test,22513788_21394485130_567991,"(6, 1)",6,1
Test,225233413_3719330798_270084,"(4, 0)",4,0
Test,225272603_35986351314_562247,"(4, 0)",4,0
Test,225348198_97709233940_962146,"(4, 0)",4,0
Test,225349640_17353665427_155795,"(5, 3)",5,3
Test,225358244_44102585445_177417,"(2, 0)",2,0
Test,225413638_34834369544_893327,"(4, 0)",4,0
Test,225439291_81158903556_984954,"(6, 3)",6,3
Test,225441381_37030499222_560124,"(6, 1)",6,1
Test,225443698_31144039704_614406,"(5, 2)",5,2
Test,225464799_33066131909_525015,"(4, 0)",4,0
Test,225467657_93049113633_519258,"(4, 0)",4,0
Test,225499002_93105985768_976868,"(0, 0)",0,0
Test,225575402_13623781209_162727,"(4, 0)",4,0
Test,225596442_52204765433_731862,"(2, 0)",2,0
Test,225634226_67084475651_415814,"(3, 0)",3,0
Test,225641190_96668831979_579337,"(1, 0)",1,0
Test,225643933_53904973908_89635,"(8, 2)",8,2
Test,225669550_18565101512_287723,"(6, 1)",6,1
Test,225709557_2911827682_826840,"(2, 1)",2,1
Test,22572369_81769499449_467172,"(4, 0)",4,0
Test,225727834_84409047316_398027,"(4, 0)",4,0
Test,225736123_81425665492_136250,"(2, 0)",2,0
Test,225799985_4916978387_227813,"(4, 0)",4,0
Test,225902839_83420857347_202568,"(4, 0)",4,0
Test,225913088_18317787020_342746,"(4, 0)",4,0
Test,225940661_32549738415_937752,"(4, 0)",4,0
Test,225943255_27139354851_270688,"(4, 0)",4,0
Test,225948506_68958259506_948542,"(4, 0)",4,0
Test,22594991_96477277874_824818,"(4, 0)",4,0
Test,226029007_85268622678_771217,"(1, 0)",1,0
Test,226047472_12722666772_456093,"(1, 0)",1,0
Test,226060197_88398538544_962481,"(6, 1)",6,1
Test,22607340_37242086042_802265,"(4, 0)",4,0
Test,22608591_15830983044_167322,"(4, 0)",4,0
Test,226143958_12506919465_776106,"(4, 0)",4,0
Test,22616737_65687653947_670811,"(7, 1)",7,1
Test,226179965_13728325703_29672,"(2, 0)",2,0
Test,226208042_69221464041_273701,"(4, 0)",4,0
Test,226254079_9913552842_718126,"(3, 0)",3,0
Test,226255849_14326774893_325107,"(4, 0)",4,0
Test,226279603_11221112790_246326,"(4, 0)",4,0
Test,226281073_30824138054_933819,"(6, 3)",6,3
Test,226299445_9892591324_355959,"(4, 0)",4,0
Test,226333732_84333421366_169469,"(4, 0)",4,0
Test,226336031_82935356310_241675,"(3, 0)",3,0
Test,226365582_7993250584_984934,"(4, 0)",4,0
Test,226390632_11760361666_686078,"(6, 1)",6,1
Test,226474816_22962333736_894056,"(4, 0)",4,0
Test,226475855_52367021614_65679,"(2, 1)",2,1
Test,226556385_66616222690_448145,"(6, 1)",6,1
Test,226572195_98764839816_562100,"(4, 0)",4,0
Test,226587671_39466568641_580562,"(4, 0)",4,0
Test,226615505_95121375401_448108,"(0, 0)",0,0
Test,226650039_70573581724_706740,"(4, 1)",4,1
Test,226669153_89250362661_744507,"(6, 1)",6,1
Test,226700693_71973557175_318873,"(4, 0)",4,0
Test,226707506_13928922799_649094,"(4, 0)",4,0
Test,226719413_20564091885_335790,"(4, 0)",4,0
Test,226770720_32325624740_986075,"(8, 4)",8,4
Test,226802007_88902529921_670636,"(2, 0)",2,0
Test,226809382_62166298272_19994,"(1, 0)",1,0
Test,226818799_95158480277_382530,"(4, 2)",4,2
Test,226821462_53069806492_583736,"(4, 0)",4,0
Test,226866817_65624505722_658646,"(4, 0)",4,0
Test,226877174_77457432510_76034,"(6, 1)",6,1
Test,226926593_80594798064_387313,"(1, 0)",1,0
Test,22694632_76057390436_986904,"(4, 0)",4,0
Test,226948236_68797696432_74013,"(4, 0)",4,0
Test,226957484_75551878835_397527,"(4, 0)",4,0
Test,227096683_41382548461_145222,"(1, 0)",1,0
Test,22709933_68645325703_416745,"(6, 1)",6,1
Test,22710030_54562745865_318225,"(4, 0)",4,0
Test,227185144_41381573608_157291,"(6, 3)",6,3
Test,227197325_65521320668_906323,"(4, 1)",4,1
Test,22720576_56334909827_268343,"(6, 1)",6,1
Test,227220428_15128434680_860864,"(4, 0)",4,0
Test,227226998_2051309930_214935,"(4, 1)",4,1
Test,227233762_22423667325_639352,"(2, 0)",2,0
Test,227283112_73962748567_805356,"(1, 0)",1,0
Test,227307749_26909896805_820354,"(0, 0)",0,0
Test,227309201_13200484733_341389,"(4, 0)",4,0
Test,227377482_20583002304_244781,"(0, 0)",0,0
Test,227433607_83221353462_33321,"(6, 1)",6,1
Test,227463399_90908031867_380773,"(6, 1)",6,1
Test,22748063_95203796106_385342,"(8, 2)",8,2
Test,227499427_38968227255_285300,"(4, 0)",4,0
Test,227532005_82859278533_351541,"(4, 0)",4,0
Test,227532802_46488425151_263536,"(3, 1)",3,1
Test,227546321_30483680421_882873,"(4, 0)",4,0
Test,2275695_77511222783_365266,"(4, 0)",4,0
Test,227589977_34728602122_557774,"(4, 0)",4,0
Test,227621442_74894138525_310584,"(4, 0)",4,0
Test,227696884_37696640722_86085,"(4, 0)",4,0
Test,227701396_87488609696_379279,"(4, 0)",4,0
Test,227742171_34251403311_124621,"(4, 0)",4,0
Test,227751797_59735676800_76818,"(0, 0)",0,0
Test,227781428_33864385470_261515,"(6, 2)",6,2
Test,227792280_44776118256_301707,"(4, 0)",4,0
Test,227867402_97544218164_517564,"(4, 2)",4,2
Test,227900080_43018637079_538219,"(4, 0)",4,0
Test,227946385_59924530901_484504,"(4, 0)",4,0
Test,227967201_93098933146_381394,"(4, 0)",4,0
Test,228032444_92175806511_764347,"(4, 0)",4,0
Test,228076017_93042430208_768272,"(4, 0)",4,0
Test,228146199_50881314579_153821,"(5, 1)",5,1
Test,228152820_21132395637_593675,"(6, 1)",6,1
Test,228177315_76052548085_380998,"(5, 1)",5,1
Test,228232976_21476842439_945864,"(4, 0)",4,0
Test,22826171_52507184189_408725,"(3, 1)",3,1
Test,228266231_42595319645_491110,"(0, 0)",0,0
Test,228280807_17438630650_180788,"(9, 2)",9,2
Test,228284822_40598171939_119839,"(8, 2)",8,2
Test,22833545_65715476208_712316,"(4, 1)",4,1
Test,228529544_52742082870_250010,"(10, 5)",10,5
Test,228579117_83742604192_223603,"(4, 0)",4,0
Test,228595957_43075266499_998420,"(5, 2)",5,2
Test,228605179_58455285336_414737,"(4, 0)",4,0
Test,228606371_26741453920_423686,"(1, 0)",1,0
Test,228607331_64796845322_460071,"(4, 0)",4,0
Test,228622911_26215361643_656469,"(4, 0)",4,0
Test,228654969_53527550275_524858,"(4, 1)",4,1
Test,228657662_94605450453_254808,"(4, 0)",4,0
Test,228741633_55287874368_685409,"(1, 0)",1,0
Test,228861525_39196080648_906105,"(4, 0)",4,0
Test,228902478_62872395048_340227,"(0, 0)",0,0
Test,22892195_98990479648_212483,"(4, 1)",4,1
Test,228964015_59540418610_886997,"(4, 1)",4,1
Test,228976764_46825473280_96584,"(4, 0)",4,0
Test,22906451_13810643579_524431,"(4, 0)",4,0
Test,22913246_87335481526_39153,"(4, 0)",4,0
Test,229171900_37862707089_475320,"(7, 1)",7,1
Test,229180321_64794178781_746508,"(4, 0)",4,0
Test,229187812_85882447080_409516,"(4, 0)",4,0
Test,229188106_51723989166_363886,"(4, 0)",4,0
Test,2293169_64378619927_299823,"(4, 0)",4,0
Test,229325014_21855850111_753394,"(4, 1)",4,1
Test,229369776_25584359361_652479,"(4, 0)",4,0
Test,229418167_65316429217_429723,"(4, 0)",4,0
Test,229597017_71812259370_144109,"(0, 0)",0,0
Test,229648957_82068595804_142917,"(6, 3)",6,3
Test,229668309_5662838911_682796,"(2, 1)",2,1
Test,229673030_87513582330_824308,"(4, 0)",4,0
Test,229677597_46242520696_414080,"(3, 0)",3,0
Test,229731615_33790071025_364910,"(1, 0)",1,0
Test,229777523_33873181157_977466,"(13, 5)",13,5
Test,229788758_8350438648_319444,"(8, 2)",8,2
Test,229833030_63136754515_825239,"(6, 1)",6,1
Test,229911692_47864877563_598382,"(1, 0)",1,0
Test,230029104_59547721700_899739,"(6, 1)",6,1
Test,230039776_45752693318_938765,"(8, 3)",8,3
Test,230056805_68309412955_234685,"(8, 2)",8,2
Test,230136722_79107482661_523251,"(4, 0)",4,0
Test,230183304_21096151313_136472,"(8, 2)",8,2
Test,230190780_40265705787_803867,"(4, 0)",4,0
Test,230246362_96993949922_71601,"(5, 1)",5,1
Test,230256746_68021960240_451928,"(4, 0)",4,0
Test,230275530_77491221087_363953,"(7, 1)",7,1
Test,230304235_82368336360_841158,"(4, 0)",4,0
Test,230307842_79227364828_95784,"(4, 0)",4,0
Test,230357981_52769853102_831580,"(4, 0)",4,0
Test,230380121_52231948701_29307,"(6, 2)",6,2
Test,230384863_52547612720_239385,"(4, 0)",4,0
Test,230428647_31953471335_218165,"(4, 1)",4,1
Test,230443884_80278219589_998741,"(2, 0)",2,0
Test,230468943_76743492828_804366,"(4, 0)",4,0
Test,230546925_53432959569_216507,"(4, 0)",4,0
Test,230557641_92603648123_839622,"(4, 0)",4,0
Test,230577322_59123591994_676095,"(4, 0)",4,0
Test,230630559_77569449276_549196,"(4, 0)",4,0
Test,230633657_27319187580_881688,"(4, 0)",4,0
Test,230753266_28320839000_798091,"(4, 0)",4,0
Test,230756574_45548104661_805319,"(4, 0)",4,0
Test,230791452_80113978034_567909,"(13, 3)",13,3
Test,2309047_96403339863_514450,"(4, 0)",4,0
Test,23092556_78861488009_896809,"(4, 0)",4,0
Test,230925904_31997181976_347787,"(3, 0)",3,0
Test,230971414_73906759407_772273,"(3, 0)",3,0
Test,2309743_61580546799_877533,"(2, 1)",2,1
Test,230982342_81693943712_209977,"(2, 0)",2,0
Test,231014472_95605852516_376121,"(2, 1)",2,1
Test,231101722_53862369622_977163,"(3, 0)",3,0
Test,231192749_25532685046_779236,"(6, 1)",6,1
Test,231209799_96753848686_347503,"(4, 0)",4,0
Test,23127249_5723840933_689396,"(3, 0)",3,0
Test,231282580_41512031849_653168,"(5, 2)",5,2
Test,231303790_50306568991_309390,"(4, 0)",4,0
Test,23132013_18772867495_66679,"(4, 0)",4,0
Test,231325197_25692481438_453941,"(3, 0)",3,0
Test,231331163_15418345605_353735,"(4, 0)",4,0
Test,231335873_58830318553_66928,"(10, 5)",10,5
Test,231372752_49724276157_355080,"(2, 0)",2,0
Test,231440423_2976802670_650442,"(4, 0)",4,0
Test,231445564_27511098928_934001,"(4, 0)",4,0
Test,231450990_1436572300_186764,"(4, 0)",4,0
Test,231462687_5081969724_821545,"(4, 0)",4,0
Test,231489791_26514736969_297505,"(1, 0)",1,0
Test,231510580_60843364980_14305,"(4, 0)",4,0
Test,231525149_16176868746_614463,"(4, 0)",4,0
Test,231602084_46756310357_956695,"(6, 1)",6,1
Test,23170704_25239620748_309598,"(7, 1)",7,1
Test,23172269_15996142604_809346,"(6, 3)",6,3
Test,231756368_47870074875_218752,"(1, 0)",1,0
Test,231765674_25347394254_638011,"(6, 1)",6,1
Test,231776225_57035838387_610977,"(0, 0)",0,0
Test,231865225_48936134825_842877,"(6, 3)",6,3
Test,231880616_47328785355_801747,"(4, 0)",4,0
Test,231896249_33654434791_864219,"(2, 1)",2,1
Test,231914013_47220747649_471770,"(4, 0)",4,0
Test,231924610_65807486176_33615,"(6, 1)",6,1
Test,231962605_3102843727_191413,"(4, 0)",4,0
Test,231995440_40605520343_710025,"(0, 0)",0,0
Test,232021314_31674771788_777844,"(4, 0)",4,0
Test,232067190_71522687942_985698,"(1, 0)",1,0
Test,232094143_36055520796_812318,"(4, 0)",4,0
Test,232110117_73006079384_584906,"(4, 0)",4,0
Test,232129702_89107912707_440153,"(0, 0)",0,0
Test,232137862_42025909331_673852,"(6, 1)",6,1
Test,232147586_34754649007_542277,"(4, 0)",4,0
Test,232160084_56301322380_729475,"(2, 0)",2,0
Test,232167445_50662854682_596526,"(4, 0)",4,0
Test,232189743_14146899219_305312,"(10, 2)",10,2
Test,232192191_37151711477_435398,"(4, 0)",4,0
Test,232208403_40059547316_852449,"(4, 0)",4,0
Test,232291661_84055199869_782288,"(4, 0)",4,0
Test,232308182_53853451616_154030,"(4, 0)",4,0
Test,232342251_15717750238_998792,"(3, 0)",3,0
Test,232392201_12111314520_409177,"(8, 2)",8,2
Test,232420751_73225147939_876820,"(4, 1)",4,1
Test,232421818_18074999656_251599,"(8, 3)",8,3
Test,232423477_50311540487_768158,"(0, 0)",0,0
Test,232446806_15075444635_911708,"(4, 0)",4,0
Test,232502542_12771706911_11066,"(8, 1)",8,1
Test,23251294_12115064742_143449,"(4, 0)",4,0
Test,232575911_49543709336_301724,"(0, 0)",0,0
Test,232578294_49040709169_619892,"(9, 3)",9,3
Test,232611582_24693729089_172235,"(5, 2)",5,2
Test,232616752_7854080103_595156,"(2, 0)",2,0
Test,23261980_37708874059_758642,"(3, 1)",3,1
Test,232639070_5461425367_557786,"(1, 0)",1,0
Test,232726342_93100032167_481650,"(4, 0)",4,0
Test,232733338_96169698377_572256,"(4, 0)",4,0
Test,23274821_15481209816_478920,"(1, 0)",1,0
Test,232750220_72432500482_248039,"(3, 0)",3,0
Test,232828031_81800821849_545786,"(4, 0)",4,0
Test,232828667_43141311760_828620,"(4, 0)",4,0
Test,23284813_83958772002_78205,"(4, 0)",4,0
Test,232862258_80877560669_771255,"(3, 0)",3,0
Test,232912473_41582405317_597148,"(4, 0)",4,0
Test,232917663_70319018244_311508,"(1, 0)",1,0
Test,232941226_57158414381_348602,"(4, 0)",4,0
Test,232967271_89165464838_982485,"(0, 0)",0,0
Test,232995371_30921531239_275812,"(4, 0)",4,0
Test,233008719_53906431270_871166,"(4, 0)",4,0
Test,233014308_85409128793_228140,"(4, 0)",4,0
Test,233039006_65759228062_754830,"(3, 0)",3,0
Test,233057688_7341789902_485510,"(6, 1)",6,1
Test,233186461_5875367043_961900,"(4, 0)",4,0
Test,233198397_96867531904_758665,"(4, 0)",4,0
Test,233207720_70304847390_315436,"(6, 2)",6,2
Test,233236482_66638636905_333968,"(15, 5)",15,5
Test,233277257_9002563813_865116,"(4, 0)",4,0
Test,233279640_89825078586_354932,"(4, 0)",4,0
Test,233280735_73488657239_932408,"(4, 0)",4,0
Test,233383042_28653568530_892690,"(12, 3)",12,3
Test,233393447_78468594629_544016,"(4, 0)",4,0
Test,233412008_31728224723_542617,"(4, 0)",4,0
Test,233416792_56873844638_486236,"(3, 0)",3,0
Test,233450944_56089726955_493054,"(1, 0)",1,0
Test,233464410_74398520279_459925,"(4, 2)",4,2
Test,233469203_85444102987_703287,"(0, 0)",0,0
Test,233512223_44920748957_445015,"(2, 1)",2,1
Test,233513969_77539244899_801591,"(4, 0)",4,0
Test,233517427_67962085034_159174,"(4, 0)",4,0
Test,233578287_49956553469_294233,"(18, 8)",18,8
Test,233584522_39553476760_517574,"(4, 0)",4,0
Test,233600747_89599174170_627561,"(4, 0)",4,0
Test,233608522_3293544542_980269,"(4, 0)",4,0
Test,233642117_71714981391_22731,"(2, 1)",2,1
Test,233692392_29382227675_173535,"(1, 0)",1,0
Test,233701356_41654191202_931283,"(3, 0)",3,0
Test,233704659_95800225230_717378,"(0, 0)",0,0
Test,233715279_93980971505_155356,"(4, 0)",4,0
Test,233716937_65521351596_615164,"(4, 0)",4,0
Test,233824281_98569818897_350401,"(6, 1)",6,1
Test,233847310_13650414124_933477,"(6, 1)",6,1
Test,233885518_70214478041_755699,"(4, 0)",4,0
Test,233911626_10307514731_342780,"(4, 0)",4,0
Test,233928996_53917898144_799645,"(3, 0)",3,0
Test,233935236_79865645843_899989,"(3, 1)",3,1
Test,233936209_52998272516_324008,"(3, 0)",3,0
Test,233963557_60983186279_549511,"(3, 1)",3,1
Test,233969745_46306058511_344489,"(2, 1)",2,1
Test,234038526_18936262527_807444,"(2, 0)",2,0
Test,234082247_4880801724_955101,"(3, 0)",3,0
Test,234094028_96006984373_535207,"(2, 1)",2,1
Test,234110551_55049572124_70950,"(6, 3)",6,3
Test,234117871_95108745072_439875,"(2, 1)",2,1
Test,234145109_31053352486_717781,"(4, 0)",4,0
Test,234205034_75878695969_172152,"(2, 0)",2,0
Test,234322106_10684695914_682475,"(4, 0)",4,0
Test,234402755_33547218347_805864,"(2, 0)",2,0
Test,234403429_71752553788_10895,"(6, 3)",6,3
Test,23440788_13918986178_126495,"(1, 0)",1,0
Test,234410488_24427268433_700125,"(5, 1)",5,1
Test,23442776_52835646408_403792,"(1, 0)",1,0
Test,234475446_82746842174_855248,"(2, 1)",2,1
Test,234511078_26277944876_990420,"(4, 0)",4,0
Test,234535278_60761619207_527192,"(4, 0)",4,0
Test,234562144_94560210217_735235,"(4, 0)",4,0
Test,234629765_35755599806_124999,"(4, 0)",4,0
Test,234677304_66323027951_177564,"(4, 0)",4,0
Test,234692580_90229409395_162736,"(4, 0)",4,0
Test,234716_25086705383_807134,"(4, 1)",4,1
Test,234719919_3058494123_162275,"(4, 0)",4,0
Test,234801229_82936292029_259082,"(4, 0)",4,0
Test,23485250_52723731557_134311,"(3, 0)",3,0
Test,234858577_77867388157_873508,"(1, 0)",1,0
Test,234875771_36085675737_903151,"(4, 0)",4,0
Test,234898205_6794441020_73269,"(7, 1)",7,1
Test,234920136_32546468885_706827,"(4, 1)",4,1
Test,234936908_32245748118_901799,"(4, 0)",4,0
Test,234944255_65778674470_352412,"(3, 0)",3,0
Test,235039049_39892704623_819026,"(1, 0)",1,0
Test,235052867_48516719498_31035,"(4, 0)",4,0
Test,235094558_43758061574_971879,"(3, 0)",3,0
Test,235123863_97837845928_388806,"(3, 1)",3,1
Test,235141937_89062904189_967423,"(6, 1)",6,1
Test,235170288_94722317572_917035,"(2, 0)",2,0
Test,235214072_60593011154_299667,"(3, 1)",3,1
Test,235251365_66189018198_349293,"(4, 0)",4,0
Test,235261807_52987736164_945304,"(4, 0)",4,0
Test,235361947_47568194771_42563,"(4, 0)",4,0
Test,235391945_89875763018_522973,"(6, 1)",6,1
Test,235433216_175585192_505645,"(8, 3)",8,3
Test,235434722_74674750441_820883,"(4, 0)",4,0
Test,235548053_99482168846_885503,"(7, 1)",7,1
Test,235583006_74582648670_250400,"(4, 0)",4,0
Test,2355869_80961821196_860700,"(4, 0)",4,0
Test,235640138_88465981949_251477,"(7, 3)",7,3
Test,235753840_49297933390_184437,"(5, 2)",5,2
Test,235785890_96601366737_217402,"(4, 1)",4,1
Test,235822492_71303545883_56320,"(0, 0)",0,0
Test,235851396_74377592142_638387,"(4, 0)",4,0
Test,235886434_49432175743_802658,"(4, 0)",4,0
Test,235897995_78101203177_307727,"(4, 0)",4,0
Test,235936672_48946732600_950993,"(3, 1)",3,1
Test,235950474_73833644876_582403,"(4, 0)",4,0
Test,235988344_47493300927_624783,"(8, 3)",8,3
Test,236001912_17954524535_101497,"(8, 4)",8,4
Test,236012659_56722480606_257784,"(2, 0)",2,0
Test,236096883_45564638461_316982,"(4, 0)",4,0
Test,236119269_35761608602_597873,"(2, 0)",2,0
Test,236141853_82916205258_250663,"(4, 0)",4,0
Test,236154901_1542216924_989610,"(2, 1)",2,1
Test,236209801_54442994668_280142,"(1, 0)",1,0
Test,236267830_41316519163_718847,"(4, 0)",4,0
Test,236322806_7710889214_177558,"(7, 1)",7,1
Test,236338918_26654144284_402288,"(1, 0)",1,0
Test,236394088_10458569372_91926,"(0, 0)",0,0
Test,23644468_36237709767_768489,"(4, 0)",4,0
Test,236471354_5505125296_387387,"(4, 0)",4,0
Test,236515913_84071665016_158059,"(7, 3)",7,3
Test,236724736_72928417804_67128,"(4, 0)",4,0
Test,236731888_85704046285_327645,"(4, 1)",4,1
Test,236766287_10400303411_722903,"(4, 0)",4,0
Test,236770408_87363534254_16851,"(0, 0)",0,0
Test,236799527_14894743051_214969,"(8, 3)",8,3
Test,236827746_81240658553_174594,"(8, 1)",8,1
Test,236832605_61372780824_5752,"(4, 0)",4,0
Test,236930027_31474892095_765734,"(2, 0)",2,0
Test,236964392_61571499946_535501,"(4, 0)",4,0
Test,237001288_1172340699_503753,"(3, 0)",3,0
Test,237022851_46110940833_532679,"(4, 0)",4,0
Test,237050075_29032965993_180932,"(4, 0)",4,0
Test,237059161_94831641818_782292,"(4, 0)",4,0
Test,237066604_23197687071_110319,"(4, 0)",4,0
Test,237086477_69688964890_194353,"(4, 0)",4,0
Test,237106988_39507887474_548178,"(4, 0)",4,0
Test,237114126_86257216132_368620,"(4, 0)",4,0
Test,237128592_40434445114_988512,"(1, 0)",1,0
Test,237177170_41294923283_333876,"(4, 0)",4,0
Test,237202040_26796616003_951831,"(3, 1)",3,1
Test,237202397_41184171334_961192,"(8, 2)",8,2
Test,237240016_66544847366_736490,"(3, 0)",3,0
Test,237269007_30137854941_479679,"(6, 1)",6,1
Test,237305286_98981578803_550679,"(4, 0)",4,0
Test,237395036_61504835140_550945,"(6, 1)",6,1
Test,237397313_76996853966_974538,"(8, 4)",8,4
Test,237399108_10988306751_592986,"(2, 0)",2,0
Test,237416454_57529924804_38985,"(4, 0)",4,0
Test,237441266_15299971158_174617,"(6, 1)",6,1
Test,237448512_94729950333_375627,"(4, 0)",4,0
Test,237514085_13062737550_338892,"(4, 0)",4,0
Test,23752493_88129747057_242763,"(0, 0)",0,0
Test,237547436_15989184336_145529,"(4, 1)",4,1
Test,23754918_55095237228_801417,"(4, 0)",4,0
Test,237556648_62518164201_288681,"(4, 0)",4,0
Test,237559008_75070919620_299201,"(4, 0)",4,0
Test,237587719_62748058009_757841,"(4, 0)",4,0
Test,237603591_78831787109_911611,"(4, 0)",4,0
Test,237605359_97725223710_819539,"(4, 0)",4,0
Test,237606431_45159196805_532216,"(2, 0)",2,0
Test,237670436_97939568280_113337,"(7, 2)",7,2
Test,237679843_85879907504_260218,"(0, 0)",0,0
Test,237779173_61065590890_884164,"(13, 4)",13,4
Test,237876259_77770908553_751375,"(9, 2)",9,2
Test,237895266_9524356659_713989,"(4, 0)",4,0
Test,237905220_58599554783_628546,"(4, 0)",4,0
Test,237921240_3863125771_427068,"(6, 1)",6,1
Test,237930792_3874836714_575041,"(0, 0)",0,0
Test,237945347_79910576154_202655,"(3, 0)",3,0
Test,237970948_18324981874_981232,"(4, 0)",4,0
Test,237974662_10508171174_23009,"(6, 1)",6,1
Test,238108504_15300329309_409849,"(4, 0)",4,0
Test,238179952_22523961226_95978,"(4, 0)",4,0
Test,238187395_1070039542_546576,"(8, 1)",8,1
Test,238237408_13143943580_383017,"(4, 0)",4,0
Test,238244832_53024569948_442773,"(4, 2)",4,2
Test,238266705_96877302191_659172,"(1, 0)",1,0
Test,238268109_76677985449_416253,"(1, 0)",1,0
Test,238285383_68389855609_398025,"(4, 0)",4,0
Test,238315443_53569338037_811143,"(3, 0)",3,0
Test,238356784_39869745812_564615,"(4, 1)",4,1
Test,238384644_18344366735_58443,"(6, 1)",6,1
Test,238391165_25892372142_149117,"(1, 0)",1,0
Test,238417772_45135415232_363669,"(4, 1)",4,1
Test,238471511_55789632350_949651,"(6, 1)",6,1
Test,238493298_42258342779_383379,"(0, 0)",0,0
Test,238523210_35487358481_174659,"(4, 0)",4,0
Test,238599345_38172815883_125172,"(4, 0)",4,0
Test,238614543_13070682642_544236,"(4, 0)",4,0
Test,238674805_68114166545_83252,"(4, 0)",4,0
Test,238705546_73858196107_367279,"(4, 0)",4,0
Test,238705955_18297226355_168459,"(4, 0)",4,0
Test,238886300_8597015007_937523,"(4, 0)",4,0
Test,238915428_42002734721_225201,"(2, 1)",2,1
Test,238995649_98105115848_414076,"(1, 0)",1,0
Test,239022879_91191178923_200863,"(4, 1)",4,1
Test,23904893_22547894224_957,"(4, 0)",4,0
Test,239050374_32507424173_210958,"(4, 0)",4,0
Test,239055588_21773583459_177555,"(4, 0)",4,0
Test,239138717_47550491925_956496,"(5, 1)",5,1
Test,239162083_90229888448_588231,"(4, 2)",4,2
Test,239255350_90490074015_165785,"(3, 0)",3,0
Test,239269416_52362050701_916136,"(5, 1)",5,1
Test,239276557_49937266784_440578,"(4, 0)",4,0
Test,239328733_16637685017_636154,"(4, 0)",4,0
Test,239333648_53041494656_589663,"(4, 0)",4,0
Test,239335483_53493590551_875419,"(4, 0)",4,0
Test,23935421_4831217037_135856,"(1, 0)",1,0
Test,239370782_26130621142_133132,"(4, 0)",4,0
Test,239402647_32133940735_920148,"(4, 0)",4,0
Test,239456596_26962606123_209477,"(4, 1)",4,1
Test,239471181_10047248321_960994,"(4, 0)",4,0
Test,239472644_59387271030_449468,"(4, 1)",4,1
Test,239542479_35802344589_147792,"(4, 2)",4,2
Test,239549544_30139081006_305498,"(4, 0)",4,0
Test,239553364_11127104392_811508,"(4, 0)",4,0
Test,239566104_70494412025_764929,"(3, 0)",3,0
Test,239607290_90887753251_207374,"(4, 2)",4,2
Test,239612016_80498577990_257955,"(4, 0)",4,0
Test,239668754_40046281145_990974,"(4, 0)",4,0
Test,23968647_11325707854_472526,"(0, 0)",0,0
Test,239737785_62519929184_38842,"(4, 0)",4,0
Test,239761957_37557585922_104201,"(1, 0)",1,0
Test,239772064_12980609523_799280,"(2, 1)",2,1
Test,239801436_44795271246_871493,"(4, 0)",4,0
Test,239837299_85851734938_81789,"(4, 0)",4,0
Test,239846274_29867985847_988055,"(4, 0)",4,0
Test,239911832_59051658735_322721,"(8, 1)",8,1
Test,239918596_53021708678_325705,"(2, 1)",2,1
Test,239921962_80737810610_369000,"(4, 0)",4,0
Test,239936761_59070814694_289342,"(0, 0)",0,0
Test,239971759_12870106384_985671,"(4, 0)",4,0
Test,240020137_52702010807_304006,"(6, 1)",6,1
Test,240024690_73729696456_470471,"(4, 0)",4,0
Test,240083489_53820948606_756387,"(4, 0)",4,0
Test,240186802_9595459787_390709,"(4, 0)",4,0
Test,240195587_33455877571_324533,"(4, 0)",4,0
Test,240218480_41918161437_348011,"(3, 0)",3,0
Test,240256330_26595425457_416670,"(3, 1)",3,1
Test,240274208_63562678347_432388,"(4, 0)",4,0
Test,240300700_79832122571_704691,"(8, 2)",8,2
Test,240321657_75149689619_555332,"(4, 0)",4,0
Test,240345331_25632926431_414770,"(4, 0)",4,0
Test,240440070_18253838211_150904,"(3, 0)",3,0
Test,24044739_85343503469_513356,"(2, 1)",2,1
Test,240478892_34448102591_404,"(16, 6)",16,6
Test,240504670_84573515152_706348,"(4, 0)",4,0
Test,240541065_17025962488_611047,"(2, 1)",2,1
Test,240560047_98468122341_618167,"(4, 0)",4,0
Test,240561295_10914845485_575675,"(1, 0)",1,0
Test,24063050_12592614327_342289,"(2, 1)",2,1
Test,240665315_26020123922_334292,"(8, 2)",8,2
Test,240674205_25864537490_321304,"(6, 1)",6,1
Test,240680734_9475016486_674017,"(0, 0)",0,0
Test,240741295_34032522439_680007,"(4, 0)",4,0
Test,240769262_6207283319_55387,"(1, 0)",1,0
Test,240962139_94990953278_418319,"(4, 0)",4,0
Test,24097991_94976106846_32928,"(2, 0)",2,0
Test,241012173_23578166073_177620,"(4, 0)",4,0
Test,241049532_36708776769_467561,"(3, 1)",3,1
Test,241092980_14790185552_301198,"(4, 0)",4,0
Test,241114144_57178238700_774864,"(4, 0)",4,0
Test,241216185_87096976451_253905,"(0, 0)",0,0
Test,24123191_88294451059_230701,"(2, 1)",2,1
